Table 6.3 Top skills for fastest growing occupations and 2024–34 employment projections (Employment in thousands),,,,,,,,,,,,,
2024 National Employment Matrix title,2024 National Employment Matrix code,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Top highest skill,Second highest skill,Third highest skill,Related Occupational Outlook Handbook (OOH) content
"Total, all occupations",00-0000,"169,956.1","175,167.9","5,211.8",3.1,5.8,"18,863.3","49,500",—,Adaptability,Detail oriented,Interpersonal,—
  Wind turbine service technicians,49-9081,13.6,20.5,6.8,49.9,16.7,2.3,"62,580",Postsecondary nondegree award,Detail oriented,Mechanical,Adaptability,OOH Content
  Solar photovoltaic installers,47-2231,28.6,40.6,12.0,42.1,—,4.1,"51,860",High school diploma or equivalent,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Nurse practitioners,29-1171,320.4,448.8,128.4,40.1,1.0,29.5,"129,210",Master's degree,Adaptability,Interpersonal,Problem solving and decision making,OOH Content
  Data scientists,15-2051,245.9,328.3,82.5,33.5,1.8,23.4,"112,590",Bachelor's degree,Mathematics,Computers and information technology,Writing and reading,OOH Content
  Information security analysts,15-1212,182.8,234.9,52.1,28.5,0.6,16.0,"124,910",Bachelor's degree,Computers and information technology,Adaptability,Writing and reading,OOH Content
  Medical and health services managers,11-9111,616.2,759.1,142.9,23.2,5.1,62.1,"117,960",Bachelor's degree,Adaptability,Leadership,Critical and analytical thinking,OOH Content
  Physical therapist assistants,31-2021,111.5,136.0,24.5,22.0,0.7,19.8,"65,510",Associate's degree,Interpersonal,Adaptability,Problem solving and decision making,OOH Content
  Actuaries,15-2011,33.6,40.9,7.3,21.8,—,2.4,"125,770",Bachelor's degree,Mathematics,Critical and analytical thinking,Writing and reading,OOH Content
  Operations research analysts,15-2031,112.1,136.2,24.1,21.5,—,9.6,"91,290",Bachelor's degree,Mathematics,Critical and analytical thinking,Writing and reading,OOH Content
  Physician assistants,29-1071,162.7,195.8,33.2,20.4,1.5,12.0,"133,260",Master's degree,Adaptability,Interpersonal,Detail oriented,OOH Content
  Psychiatric technicians,29-2053,144.5,173.3,28.9,20.0,—,15.9,"42,590",Postsecondary nondegree award,Interpersonal,Adaptability,Writing and reading,OOH Content
  Ophthalmic medical technicians,29-2057,78.8,94.4,15.6,19.8,0.7,12.5,"44,080",Postsecondary nondegree award,Adaptability,Detail oriented,Interpersonal,—
  Computer and information research scientists,15-1221,40.3,48.3,7.9,19.7,0.9,3.2,"140,910",Master's degree,Computers and information technology,Critical and analytical thinking,Problem solving and decision making,OOH Content
  Occupational therapy assistants,31-2011,49.2,58.7,9.5,19.2,—,7.2,"68,340",Associate's degree,Interpersonal,Adaptability,Problem solving and decision making,OOH Content
  Financial examiners,13-2061,65.1,77.2,12.1,18.5,0.4,5.7,"90,400",Bachelor's degree,Critical and analytical thinking,Writing and reading,Adaptability,OOH Content
  Hearing aid specialists,29-2092,10.7,12.6,2.0,18.4,0.5,1.0,"61,560",High school diploma or equivalent,Adaptability,Customer service,Interpersonal,—
"  Health specialties teachers, postsecondary",25-1071,289.6,339.7,50.1,17.3,0.3,27.4,"105,620",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
  Home health and personal care aides,31-1120,"4,347.7","5,087.5",739.8,17.0,2.8,765.8,"34,900",High school diploma or equivalent,Interpersonal,Adaptability,Detail oriented,OOH Content
"  Nursing instructors and teachers, postsecondary",25-1072,91.6,106.9,15.3,16.8,0.4,8.6,"79,940",Doctoral or professional degree,Adaptability,Interpersonal,Writing and reading,OOH Content
"  Substance abuse, behavioral disorder, and mental health counselors",21-1018,483.5,564.6,81.0,16.8,5.9,48.3,"59,190",Master's degree,Interpersonal,Adaptability,Writing and reading,OOH Content
  Logisticians,13-1081,241.0,281.3,40.3,16.7,0.3,26.4,"80,880",Bachelor's degree,Adaptability,Critical and analytical thinking,Problem solving and decision making,OOH Content
  Epidemiologists,19-1041,12.3,14.3,2.0,16.2,—,0.8,"83,980",Master's degree,Writing and reading,Critical and analytical thinking,Problem solving and decision making,OOH Content
  Industrial machinery mechanics,49-9041,439.6,510.3,70.7,16.1,1.7,45.7,"63,760",High school diploma or equivalent,Fine motor,Mechanical,Adaptability,OOH Content
  Software developers,15-1252,"1,693.8","1,961.4",267.7,15.8,1.6,115.2,"133,080",Bachelor's degree,Computers and information technology,Critical and analytical thinking,Writing and reading,OOH Content
  Massage therapists,31-9011,168.0,193.9,25.9,15.4,41.9,24.7,"57,950",Postsecondary nondegree award,Interpersonal,Adaptability,Problem solving and decision making,OOH Content
  Computer and information systems managers,11-3021,667.1,768.7,101.6,15.2,0.9,55.6,"171,200",Bachelor's degree,Computers and information technology,Problem solving and decision making,Adaptability,OOH Content
  Speech-language pathologists,29-1127,187.4,215.5,28.2,15.0,3.3,13.3,"95,410",Master's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
"  Cooks, restaurant",35-2014,"1,460.2","1,677.2",217.0,14.9,—,250.7,"36,830",No formal educational credential,Adaptability,Detail oriented,Leadership,OOH Content
  Financial managers,11-3031,868.6,997.4,128.8,14.8,2.4,74.6,"161,700",Bachelor's degree,Leadership,Adaptability,Problem solving and decision making,OOH Content
  Health information technologists and medical registrars,29-9021,41.9,48.1,6.2,14.7,7.8,3.2,"67,310",Associate's degree,Computers and information technology,Writing and reading,Adaptability,OOH Content
Footnotes:,,,,,,,,,,,,,
"[1] Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",,,,,,,,,,,,,
"Note: Data is unavailable for values denoted with a ""—"".",,,,,,,,,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,,,,,,,,,,,